sex	age	l	m	s
1	0	1.0	34.461800	0.036860
1	1	1.0	34.562000	0.036560
1	2	1.0	34.662201	0.036250
1	3	1.0	34.762501	0.035950
1	4	1.0	34.862701	0.035640
1	5	1.0	34.962898	0.035330
1	6	1.0	35.063099	0.035030
1	7	1.0	35.163399	0.034720
1	8	1.0	35.263599	0.034410
1	9	1.0	35.363800	0.034110
1	10	1.0	35.464001	0.033800
1	11	1.0	35.564301	0.033500
1	12	1.0	35.664501	0.033190
1	13	1.0	35.764702	0.032880
1	14	1.0	35.864899	0.032580
1	15	1.0	35.965199	0.032480
1	16	1.0	36.063202	0.032390
1	17	1.0	36.159000	0.032300
1	18	1.0	36.252602	0.032210
1	19	1.0	36.344101	0.032130
1	20	1.0	36.433800	0.032050
1	21	1.0	36.521599	0.031970
1	22	1.0	36.607800	0.031890
1	23	1.0	36.692200	0.031820
1	24	1.0	36.775101	0.031750
1	25	1.0	36.856602	0.031680
1	26	1.0	36.936600	0.031610
1	27	1.0	37.015202	0.031540
1	28	1.0	37.092602	0.031480
1	29	1.0	37.168701	0.031410
1	30	1.0	37.243500	0.031350
1	31	1.0	37.317200	0.031290
1	32	1.0	37.389801	0.031230
1	33	1.0	37.461201	0.031180
1	34	1.0	37.531601	0.031120
1	35	1.0	37.601002	0.031070
1	36	1.0	37.669399	0.031010
1	37	1.0	37.736801	0.030960
1	38	1.0	37.803398	0.030910
1	39	1.0	37.868999	0.030860
1	40	1.0	37.933800	0.030810
1	41	1.0	37.997799	0.030760
1	42	1.0	38.060902	0.030720
1	43	1.0	38.123299	0.030670
1	44	1.0	38.185001	0.030620
1	45	1.0	38.245899	0.030580
1	46	1.0	38.306099	0.030540
1	47	1.0	38.365501	0.030490
1	48	1.0	38.424301	0.030450
1	49	1.0	38.482399	0.030410
1	50	1.0	38.539902	0.030370
1	51	1.0	38.596802	0.030330
1	52	1.0	38.653000	0.030290
1	53	1.0	38.708698	0.030250
1	54	1.0	38.763802	0.030210
1	55	1.0	38.818298	0.030180
1	56	1.0	38.872398	0.030140
1	57	1.0	38.925800	0.030100
1	58	1.0	38.978802	0.030070
1	59	1.0	39.031300	0.030030
1	60	1.0	39.083401	0.030000
1	61	1.0	39.134899	0.029970
1	62	1.0	39.186100	0.029930
1	63	1.0	39.236801	0.029900
1	64	1.0	39.287102	0.029870
1	65	1.0	39.336899	0.029840
1	66	1.0	39.386299	0.029810
1	67	1.0	39.435299	0.029780
1	68	1.0	39.483799	0.029750
1	69	1.0	39.532001	0.029720
1	70	1.0	39.579700	0.029690
1	71	1.0	39.627102	0.029660
1	72	1.0	39.674000	0.029630
1	73	1.0	39.720600	0.029610
1	74	1.0	39.766800	0.029580
1	75	1.0	39.812698	0.029550
1	76	1.0	39.858101	0.029530
1	77	1.0	39.903301	0.029500
1	78	1.0	39.948002	0.029480
1	79	1.0	39.992401	0.029450
1	80	1.0	40.036499	0.029430
1	81	1.0	40.080299	0.029400
1	82	1.0	40.123699	0.029380
1	83	1.0	40.166801	0.029360
1	84	1.0	40.209599	0.029330
1	85	1.0	40.252102	0.029310
1	86	1.0	40.294300	0.029290
1	87	1.0	40.336201	0.029270
1	88	1.0	40.377800	0.029250
1	89	1.0	40.419102	0.029220
1	90	1.0	40.460098	0.029200
1	91	1.0	40.500801	0.029180
1	92	1.0	40.541302	0.029160
1	93	1.0	40.581501	0.029140
1	94	1.0	40.621399	0.029120
1	95	1.0	40.661098	0.029100
1	96	1.0	40.700500	0.029080
1	97	1.0	40.739601	0.029070
1	98	1.0	40.778500	0.029050
1	99	1.0	40.817200	0.029030
1	100	1.0	40.855499	0.029010
1	101	1.0	40.893600	0.028990
1	102	1.0	40.931499	0.028980
1	103	1.0	40.969101	0.028960
1	104	1.0	41.006500	0.028940
1	105	1.0	41.043598	0.028930
1	106	1.0	41.080502	0.028910
1	107	1.0	41.117199	0.028890
1	108	1.0	41.153599	0.028880
1	109	1.0	41.189800	0.028860
1	110	1.0	41.225700	0.028850
1	111	1.0	41.261501	0.028830
1	112	1.0	41.297001	0.028820
1	113	1.0	41.332298	0.028800
1	114	1.0	41.367298	0.028790
1	115	1.0	41.402199	0.028770
1	116	1.0	41.436798	0.028760
1	117	1.0	41.471199	0.028750
1	118	1.0	41.505402	0.028730
1	119	1.0	41.539398	0.028720
1	120	1.0	41.573101	0.028710
1	121	1.0	41.606701	0.028690
1	122	1.0	41.640099	0.028680
1	123	1.0	41.673199	0.028670
1	124	1.0	41.706200	0.028650
1	125	1.0	41.738899	0.028640
1	126	1.0	41.771500	0.028630
1	127	1.0	41.803799	0.028620
1	128	1.0	41.835999	0.028610
1	129	1.0	41.868000	0.028590
1	130	1.0	41.899700	0.028580
1	131	1.0	41.931301	0.028570
1	132	1.0	41.962700	0.028560
1	133	1.0	41.993900	0.028550
1	134	1.0	42.024899	0.028540
1	135	1.0	42.055698	0.028530
1	136	1.0	42.086399	0.028520
1	137	1.0	42.116798	0.028510
1	138	1.0	42.147099	0.028500
1	139	1.0	42.177200	0.028490
1	140	1.0	42.207100	0.028480
1	141	1.0	42.236801	0.028470
1	142	1.0	42.266399	0.028460
1	143	1.0	42.295700	0.028450
1	144	1.0	42.324902	0.028440
1	145	1.0	42.354000	0.028430
1	146	1.0	42.382801	0.028420
1	147	1.0	42.411499	0.028410
1	148	1.0	42.439999	0.028400
1	149	1.0	42.468399	0.028390
1	150	1.0	42.496498	0.028390
1	151	1.0	42.524601	0.028380
1	152	1.0	42.552399	0.028370
1	153	1.0	42.580101	0.028360
1	154	1.0	42.607601	0.028350
1	155	1.0	42.634899	0.028350
1	156	1.0	42.662102	0.028340
1	157	1.0	42.689201	0.028330
1	158	1.0	42.716000	0.028320
1	159	1.0	42.742699	0.028320
1	160	1.0	42.769299	0.028310
1	161	1.0	42.795700	0.028300
1	162	1.0	42.821899	0.028290
1	163	1.0	42.848000	0.028290
1	164	1.0	42.874001	0.028280
1	165	1.0	42.899700	0.028270
1	166	1.0	42.925400	0.028270
1	167	1.0	42.950901	0.028260
1	168	1.0	42.976200	0.028250
1	169	1.0	43.001400	0.028250
1	170	1.0	43.026402	0.028240
1	171	1.0	43.051300	0.028230
1	172	1.0	43.076099	0.028230
1	173	1.0	43.100700	0.028220
1	174	1.0	43.125198	0.028220
1	175	1.0	43.149502	0.028210
1	176	1.0	43.173698	0.028200
1	177	1.0	43.197800	0.028200
1	178	1.0	43.221699	0.028190
1	179	1.0	43.245499	0.028190
1	180	1.0	43.269100	0.028180
1	181	1.0	43.292702	0.028180
1	182	1.0	43.316002	0.028170
1	183	1.0	43.339298	0.028170
1	184	1.0	43.362400	0.028160
1	185	1.0	43.385399	0.028160
1	186	1.0	43.408298	0.028150
1	187	1.0	43.431000	0.028150
1	188	1.0	43.453602	0.028140
1	189	1.0	43.476101	0.028140
1	190	1.0	43.498402	0.028130
1	191	1.0	43.520599	0.028130
1	192	1.0	43.542702	0.028120
1	193	1.0	43.564701	0.028120
1	194	1.0	43.586498	0.028110
1	195	1.0	43.608200	0.028110
1	196	1.0	43.629799	0.028100
1	197	1.0	43.651299	0.028100
1	198	1.0	43.672699	0.028100
1	199	1.0	43.693901	0.028090
1	200	1.0	43.715000	0.028090
1	201	1.0	43.736000	0.028080
1	202	1.0	43.756901	0.028080
1	203	1.0	43.777699	0.028080
1	204	1.0	43.798302	0.028070
1	205	1.0	43.818802	0.028070
1	206	1.0	43.839298	0.028070
1	207	1.0	43.859600	0.028060
1	208	1.0	43.879799	0.028060
1	209	1.0	43.899799	0.028060
1	210	1.0	43.919800	0.028050
1	211	1.0	43.939701	0.028050
1	212	1.0	43.959400	0.028050
1	213	1.0	43.979099	0.028040
1	214	1.0	43.998600	0.028040
1	215	1.0	44.018101	0.028040
1	216	1.0	44.037399	0.028030
1	217	1.0	44.056599	0.028030
1	218	1.0	44.075699	0.028030
1	219	1.0	44.094700	0.028020
1	220	1.0	44.113602	0.028020
1	221	1.0	44.132500	0.028020
1	222	1.0	44.151199	0.028010
1	223	1.0	44.169800	0.028010
1	224	1.0	44.188301	0.028010
1	225	1.0	44.206699	0.028010
1	226	1.0	44.224998	0.028000
1	227	1.0	44.243198	0.028000
1	228	1.0	44.261299	0.028000
1	229	1.0	44.279301	0.028000
1	230	1.0	44.297199	0.027990
1	231	1.0	44.314999	0.027990
1	232	1.0	44.332802	0.027990
1	233	1.0	44.350399	0.027990
1	234	1.0	44.367901	0.027980
1	235	1.0	44.385399	0.027980
1	236	1.0	44.402699	0.027980
1	237	1.0	44.419998	0.027980
1	238	1.0	44.437199	0.027980
1	239	1.0	44.454300	0.027970
1	240	1.0	44.471298	0.027970
1	241	1.0	44.488201	0.027970
1	242	1.0	44.505001	0.027970
1	243	1.0	44.521702	0.027970
1	244	1.0	44.538399	0.027960
1	245	1.0	44.554901	0.027960
1	246	1.0	44.571400	0.027960
1	247	1.0	44.587799	0.027960
1	248	1.0	44.604099	0.027960
1	249	1.0	44.620300	0.027950
1	250	1.0	44.636501	0.027950
1	251	1.0	44.652500	0.027950
1	252	1.0	44.668499	0.027950
1	253	1.0	44.684399	0.027950
1	254	1.0	44.700199	0.027950
1	255	1.0	44.716000	0.027940
1	256	1.0	44.731602	0.027940
1	257	1.0	44.747200	0.027940
1	258	1.0	44.762699	0.027940
1	259	1.0	44.778099	0.027940
1	260	1.0	44.793499	0.027940
1	261	1.0	44.808800	0.027940
1	262	1.0	44.824001	0.027930
1	263	1.0	44.839100	0.027930
1	264	1.0	44.854198	0.027930
1	265	1.0	44.869099	0.027930
1	266	1.0	44.883999	0.027930
1	267	1.0	44.898899	0.027930
1	268	1.0	44.913601	0.027930
1	269	1.0	44.928299	0.027930
1	270	1.0	44.942902	0.027920
1	271	1.0	44.957500	0.027920
1	272	1.0	44.972000	0.027920
1	273	1.0	44.986401	0.027920
1	274	1.0	45.000702	0.027920
1	275	1.0	45.014999	0.027920
1	276	1.0	45.029202	0.027920
1	277	1.0	45.043301	0.027920
1	278	1.0	45.057301	0.027920
1	279	1.0	45.071301	0.027910
1	280	1.0	45.085300	0.027910
1	281	1.0	45.099098	0.027910
1	282	1.0	45.112900	0.027910
1	283	1.0	45.126701	0.027910
1	284	1.0	45.140301	0.027910
1	285	1.0	45.153900	0.027910
1	286	1.0	45.167400	0.027910
1	287	1.0	45.180901	0.027910
1	288	1.0	45.194302	0.027910
1	289	1.0	45.207699	0.027910
1	290	1.0	45.220901	0.027910
1	291	1.0	45.234100	0.027900
1	292	1.0	45.247299	0.027900
1	293	1.0	45.260399	0.027900
1	294	1.0	45.273399	0.027900
1	295	1.0	45.286400	0.027900
1	296	1.0	45.299301	0.027900
1	297	1.0	45.312099	0.027900
1	298	1.0	45.324902	0.027900
1	299	1.0	45.337700	0.027900
1	300	1.0	45.350300	0.027900
1	301	1.0	45.362900	0.027900
1	302	1.0	45.375500	0.027900
1	303	1.0	45.388000	0.027900
1	304	1.0	45.400398	0.027900
1	305	1.0	45.412800	0.027900
1	306	1.0	45.425098	0.027900
1	307	1.0	45.437401	0.027890
1	308	1.0	45.449600	0.027890
1	309	1.0	45.461800	0.027890
1	310	1.0	45.473900	0.027890
1	311	1.0	45.485901	0.027890
1	312	1.0	45.497898	0.027890
1	313	1.0	45.509800	0.027890
1	314	1.0	45.521702	0.027890
1	315	1.0	45.533600	0.027890
1	316	1.0	45.545300	0.027890
1	317	1.0	45.557098	0.027890
1	318	1.0	45.568699	0.027890
1	319	1.0	45.580299	0.027890
1	320	1.0	45.591900	0.027890
1	321	1.0	45.603401	0.027890
1	322	1.0	45.614899	0.027890
1	323	1.0	45.626301	0.027890
1	324	1.0	45.637600	0.027890
1	325	1.0	45.648899	0.027890
1	326	1.0	45.660198	0.027890
1	327	1.0	45.671398	0.027890
1	328	1.0	45.682598	0.027890
1	329	1.0	45.693699	0.027890
1	330	1.0	45.704700	0.027890
1	331	1.0	45.715801	0.027890
1	332	1.0	45.726700	0.027890
1	333	1.0	45.737598	0.027890
1	334	1.0	45.748501	0.027890
1	335	1.0	45.759300	0.027890
1	336	1.0	45.770100	0.027890
1	337	1.0	45.780800	0.027890
1	338	1.0	45.791500	0.027890
1	339	1.0	45.802200	0.027890
1	340	1.0	45.812801	0.027890
1	341	1.0	45.823299	0.027880
1	342	1.0	45.833801	0.027880
1	343	1.0	45.844299	0.027880
1	344	1.0	45.854698	0.027880
1	345	1.0	45.865101	0.027880
1	346	1.0	45.875401	0.027880
1	347	1.0	45.885700	0.027880
1	348	1.0	45.895901	0.027880
1	349	1.0	45.906101	0.027880
1	350	1.0	45.916302	0.027880
1	351	1.0	45.926399	0.027880
1	352	1.0	45.936401	0.027880
1	353	1.0	45.946499	0.027880
1	354	1.0	45.956501	0.027880
1	355	1.0	45.966400	0.027880
1	356	1.0	45.976299	0.027880
1	357	1.0	45.986198	0.027880
1	358	1.0	45.995998	0.027880
1	359	1.0	46.005798	0.027880
1	360	1.0	46.015499	0.027880
1	361	1.0	46.025200	0.027880
1	362	1.0	46.034901	0.027890
1	363	1.0	46.044498	0.027890
1	364	1.0	46.054100	0.027890
1	365	1.0	46.063702	0.027890
1	366	1.0	46.073200	0.027890
1	367	1.0	46.082699	0.027890
1	368	1.0	46.092098	0.027890
1	369	1.0	46.101501	0.027890
1	370	1.0	46.110901	0.027890
1	371	1.0	46.120201	0.027890
1	372	1.0	46.129501	0.027890
1	373	1.0	46.138699	0.027890
1	374	1.0	46.147999	0.027890
1	375	1.0	46.157200	0.027890
1	376	1.0	46.166302	0.027890
1	377	1.0	46.175400	0.027890
1	378	1.0	46.184502	0.027890
1	379	1.0	46.193501	0.027890
1	380	1.0	46.202499	0.027890
1	381	1.0	46.211498	0.027890
1	382	1.0	46.220402	0.027890
1	383	1.0	46.229401	0.027890
1	384	1.0	46.238201	0.027890
1	385	1.0	46.247101	0.027890
1	386	1.0	46.255901	0.027890
1	387	1.0	46.264599	0.027890
1	388	1.0	46.273399	0.027890
1	389	1.0	46.282101	0.027890
1	390	1.0	46.290798	0.027890
1	391	1.0	46.299400	0.027890
1	392	1.0	46.307999	0.027890
1	393	1.0	46.316601	0.027890
1	394	1.0	46.325100	0.027890
1	395	1.0	46.333698	0.027890
1	396	1.0	46.342098	0.027890
1	397	1.0	46.350601	0.027890
1	398	1.0	46.359001	0.027890
1	399	1.0	46.367401	0.027890
1	400	1.0	46.375801	0.027890
1	401	1.0	46.384102	0.027890
1	402	1.0	46.392399	0.027900
1	403	1.0	46.400700	0.027900
1	404	1.0	46.409000	0.027900
1	405	1.0	46.417198	0.027900
1	406	1.0	46.425400	0.027900
1	407	1.0	46.433498	0.027900
1	408	1.0	46.441700	0.027900
1	409	1.0	46.449799	0.027900
1	410	1.0	46.457802	0.027900
1	411	1.0	46.465900	0.027900
1	412	1.0	46.473900	0.027900
1	413	1.0	46.481899	0.027900
1	414	1.0	46.489899	0.027900
1	415	1.0	46.497799	0.027900
1	416	1.0	46.505699	0.027900
1	417	1.0	46.513599	0.027900
1	418	1.0	46.521500	0.027900
1	419	1.0	46.529301	0.027900
1	420	1.0	46.537102	0.027900
1	421	1.0	46.544899	0.027900
1	422	1.0	46.552700	0.027900
1	423	1.0	46.560398	0.027900
1	424	1.0	46.568100	0.027900
1	425	1.0	46.575802	0.027910
1	426	1.0	46.583401	0.027910
1	427	1.0	46.591000	0.027910
1	428	1.0	46.598701	0.027910
1	429	1.0	46.606201	0.027910
1	430	1.0	46.613800	0.027910
1	431	1.0	46.621300	0.027910
1	432	1.0	46.628799	0.027910
1	433	1.0	46.636299	0.027910
1	434	1.0	46.643799	0.027910
1	435	1.0	46.651199	0.027910
1	436	1.0	46.658600	0.027910
1	437	1.0	46.666000	0.027910
1	438	1.0	46.673401	0.027910
